collected_at,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,id,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
202505,185341,A Year of Sanderson: Enjoy books and swag boxes throughout 2023!,47,Fiction,18,Publishing,http://www.kickstarter.com/discover/categories/publishing/fiction,41754153,US,1641845766,74501917,Dragonsteel Entertainment,https://www.kickstarter.com/profile/dragonsteel,USD,1648767600,1,1000000,1497949659,1646150407,US,2473779,Pleasant Grove,UT,Town,Surprise! Four Secret Novels by Brandon Sanderson,4175.415324,41754153.24,A Year of Sanderson: Enjoy books and swag boxes throughout 2023!,4334820,Surprise! Four Secret Novels by Brandon Sanderson,4334820,active,1648767693,https://www.kickstarter.com/projects/dragonsteel/surprise-four-secret-novels-by-brandon-sanderson,TRUE,TRUE,successful,1648767600,1,1,41754153.24,domestic
202505,78471,Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,20338986,US,1423542328,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1427508000,1,500000,1799979574,1424789082,US,2467861,Palo Alto,CA,Town,"Pebble Time - Awesome Smartwatch, No Compromises",4067.797254,20338986.27,Color e-paper smartwatch with up to 7 days of battery and a new timeline interface that highlights what's important in your day.,1695644,"Pebble Time - Awesome Smartwatch, No Compromises",1695644,active,1427589733,https://www.kickstarter.com/projects/getpebble/pebble-time-awesome-smartwatch-no-compromises,TRUE,TRUE,successful,1427508015,1,1,20338986.27,domestic
202505,55106,"Beginning with The Stormlight Archive and expanding to Mistborn, this original tabletop RPG will grow to support the entire Cosmere!",34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,15149874,US,1715376496,237961243,Brotherwise Games,https://www.kickstarter.com/profile/brotherwise,USD,1724986800,1,250000,7816448,1722949229,US,2442047,Los Angeles,CA,Town,Brandon Sanderson's Cosmere® RPG,6059.9496,15149874,"Beginning with The Stormlight Archive and expanding to Mistborn, this original tabletop RPG will grow to support the entire Cosmere!",4854832,Brandon Sanderson's Cosmere® RPG,4854832,active,1726001178,https://www.kickstarter.com/projects/brotherwise/the-stormlight-archive-rpg,TRUE,TRUE,successful,1724986800,1,1,15149874,domestic
202505,62642,"The COOLEST is a portable party disguised as a cooler, bringing blended drinks, music and fun to any outdoor occasion.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,13285226,US,1382478674,203090294,Ryan Grepper,https://www.kickstarter.com/profile/ryangrepper,USD,1409360400,1,50000,342886736,1404807277,US,2475687,Portland,OR,Town,COOLEST COOLER: 21st Century Cooler that's Actually Cooler,26570.45272,13285226.36,"The COOLEST is a portable party disguised as a cooler, bringing blended drinks, music and fun to any outdoor occasion.",746867,COOLEST COOLER: 21st Century Cooler that's Actually Cooler,746867,active,1428100634,https://www.kickstarter.com/projects/ryangrepper/coolest-cooler-21st-century-cooler-thats-actually,TRUE,FALSE,successful,1409360410,1,1,13285226.36,domestic
202505,83193,Euro-inspired dungeon crawling sequel to the 2017 smash-hit Gloomhaven,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,12969608,US,1581299604,1350948450,Isaac Childres,https://www.kickstarter.com/profile/frosthaven,USD,1588366800,1,500000,374744378,1585667038,US,2434562,Lafayette,IN,Town,Frosthaven,2593.9216,12969608,Euro-inspired dungeon crawling sequel to the 2017 smash-hit board game Gloomhaven,3930828,Frosthaven,3930828,active,1588367201,https://www.kickstarter.com/projects/frosthaven/frosthaven,TRUE,TRUE,successful,1588366800,1,1,12969608,domestic
202505,66673,"Two affordable, heart rate-enabled smartwatches and a hackable, 3G wearable for phone-free running with GPS, music, and Amazon Alexa.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,12779843,US,1463341264,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1467262800,1,1000000,2103598555,1464097792,US,2479714,Redwood City,CA,Town,"Pebble 2, Time 2 + All-New Pebble Core",1277.984349,12779843.49,"Two affordable, heart rate-enabled smartwatches and a hackable, 3G wearable for phone-free running with GPS, music, and Amazon Alexa.",2516776,"Pebble 2, Time 2 + All-New Pebble Core",2516776,active,1467273864,https://www.kickstarter.com/projects/getpebble/pebble-2-time-2-and-core-an-entirely-new-3g-ultra,TRUE,TRUE,successful,1467262800,1,1,12779843.49,domestic
202505,19264,A cooperative nightmare horror game experience. Hunt intelligent monsters and develop your settlement through a self-running campaign.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,12393139,US,1478708204,2121023188,Kingdom Death,https://www.kickstarter.com/profile/poots,USD,1483830000,1,100000,545070200,1480050101,US,2411081,Glendale,NY,Suburb,Kingdom Death: Monster 1.5,12393.13969,12393139.69,A cooperative nightmare horror game experience. Hunt intelligent monsters and develop your settlement through a self-running campaign.,2752819,Kingdom Death: Monster 1.5,2752819,active,1483997388,https://www.kickstarter.com/projects/poots/kingdom-death-monster-15,TRUE,TRUE,successful,1483830003,1,1,12393139.69,domestic
202505,3199,Expandable capacity (3.6-25kWh) | Power almost anything (3.6-7.2kW) | Home battery ecosystem,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,12179651,US,1625053977,1436444454,EcoFlow,https://www.kickstarter.com/profile/ecoflow,USD,1631540391,1,100000,1198848775,1626356391,US,2442047,Los Angeles,CA,Town,EcoFlow DELTA Pro: The Portable Home Battery,12179.65105,12179651.05,,4241418,,4241418,inactive,1625053977,https://www.kickstarter.com/projects/ecoflow/ecoflow-delta-pro,TRUE,TRUE,successful,1631540391,1,1,12179651.05,domestic
202505,27168,A full-featured tripod in a truly portable form.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,12143435,US,1556224168,97103764,Peak Design,https://www.kickstarter.com/profile/peak-design,USD,1563494400,1,500000,1289129165,1558447202,US,2487956,San Francisco,CA,Town,Travel Tripod by Peak Design,2428.687134,12143435.67,A full-featured tripod in a truly portable form.,3718928,Travel Tripod by Peak Design,3718928,active,1563558922,https://www.kickstarter.com/projects/peak-design/travel-tripod-by-peak-design,TRUE,TRUE,successful,1563494400,1,1,12143435.67,domestic
202505,88887,Critical Role's The Legend of Vox Machina reunites your favorite heroes for a professional-quality animated special!,29,Animation,11,Film & Video,http://www.kickstarter.com/discover/categories/film%20&%20video/animation,11385449,US,1549660952,1007835190,Critical Role,https://www.kickstarter.com/profile/criticalrole,USD,1555657140,1,750000,597041739,1551722069,US,2442047,Los Angeles,CA,Town,Critical Role: The Legend of Vox Machina Animated Special,1518.059873,11385449.05,,3665306,,3665306,inactive,1549660952,https://www.kickstarter.com/projects/criticalrole/critical-role-the-legend-of-vox-machina-animated-s,TRUE,TRUE,successful,1555657140,1,1,11385449.05,international
202505,20086,"Impossibly thin & strong trolley. Hybrid soft/hard construction. Better access. For travelers, photographers, and everyone in-between.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,11116954,US,1737484683,97103764,Peak Design,https://www.kickstarter.com/profile/peak-design,USD,1744959600,1,100000,155121820,1741099718,US,2487956,San Francisco,CA,Town,Roller Pro Carry-On Luggage by Peak Design,11116.954,11116954,,5114131,,5114131,inactive,1737484683,https://www.kickstarter.com/projects/peak-design/roller-pro-carry-on-luggage-by-peak-design,FALSE,TRUE,live,1741099722,1,1,11116954,domestic
202505,4824,Most Funded Projector in Crowdfunding History | 2024 Most Funded Crowdfunding Project | The Hook Up's 2024 Top Pick Lifestyle Projector,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,10921452,US,1727419968,564709179,Valerion,https://www.kickstarter.com/profile/valerionvisionmaster,USD,1732463393,1,50000,1323681751,1728575393,US,2391279,Denver,CO,Town,Valerion VisionMaster: Cinematic-Grade RGB Laser Projector,21842.904,10921452,Most Funded Projector in Crowdfunding History | 2024 Most Funded Crowdfunding Project | The Hook Up's 2024 Top Pick Lifestyle Projector,5036870,Valerion VisionMaster: Cinematic-Grade RGB Laser Projector,5036870,active,1733479947,https://www.kickstarter.com/projects/valerionvisionmaster/valerion-visionmaster-cinematic-grade-rgb-laser-projector,TRUE,TRUE,successful,1732463397,1,1,10921452,domestic
202505,68929,"Pebble is a customizable watch. Download new watchfaces, use sports and fitness apps, get notifications from your phone.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,10266845,US,1332451302,597507018,Pebble Technology,https://www.kickstarter.com/profile/getpebble,USD,1337396400,1,100000,506924864,1334120344,US,2467861,Palo Alto,CA,Town,Pebble: E-Paper Watch for iPhone and Android,10266.84574,10266845.74,"Pebble is a customizable watch. Download new watchfaces, use sports and fitness apps, get notifications from your phone.",114303,Pebble: E-Paper Watch for iPhone and Android,114303,active,1455690795,https://www.kickstarter.com/projects/getpebble/pebble-e-paper-watch-for-iphone-and-android,TRUE,TRUE,successful,1337396419,1,1,10266845.74,domestic
202505,81567,An officially licensed tabletop roleplaying game set in the world of Avatar: The Last Airbender and The Legend of Korra,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,9535317,US,1623164955,1998547133,Magpie Games,https://www.kickstarter.com/profile/magpiegames,USD,1630625400,1,50000,1010797520,1627998936,US,2352824,Albuquerque,NM,Town,Avatar Legends: The Roleplaying Game,19070.63462,9535317.31,An officially licensed tabletop roleplaying game set in the world of Avatar: The Last Airbender and The Legend of Korra,4230147,Avatar Legends: The Roleplaying Game,4230147,active,1630626583,https://www.kickstarter.com/projects/magpiegames/avatar-legends-the-roleplaying-game,TRUE,TRUE,successful,1630625400,1,1,9535317.31,domestic
202505,44949,"TRAVEL JACKET with built-in Neck Pillow, Eye Mask, Gloves, Earphone Holders, Drink Pocket, Tech Pockets of all sizes! Comes in 4 Styles",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,9192055,US,1433223299,597538543,BAUBAX,https://www.kickstarter.com/profile/baubax,USD,1441299600,1,20000,565687737,1436269954,US,2379574,Chicago,IL,Town,The World's Best TRAVEL JACKET with 15 Features || BAUBAX,45960.2783,9192055.66,"TRAVEL JACKET with built-in Neck Pillow, Eye Mask, Gloves, Earphone Holders, Drink Pocket, Tech Pockets of all sizes! Comes in 4 Styles",1934848,TRAVEL JACKETS with 15 Features by BAUBAX,1934848,active,1441299790,https://www.kickstarter.com/projects/baubax/the-worlds-best-travel-jacket-with-15-features-bau,TRUE,FALSE,successful,1441299615,1,1,9192055.66,domestic
202505,28974,The hunger takes hold after the Marvel Universe has been turned into Zombies! Get ready for a Zombicide campaign of epic proportions.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,9032583,US,1629686058,1134494596,CMON,https://www.kickstarter.com/profile/cmon,USD,1643940000,1,500000,865220570,1642536000,US,2357024,Atlanta,GA,Town,Marvel Zombies - A Zombicide Game,1806.5166,9032583,The hunger takes hold after the Marvel Universe has been turned into Zombies! Get ready for a Zombicide campaign of epic proportions.,4268319,Marvel Zombies - A Zombicide Game,4268319,active,1643940081,https://www.kickstarter.com/projects/cmon/marvel-zombies-zombicide,TRUE,TRUE,successful,1643940000,1,1,9032583,domestic
202505,11313,Print Time Cut by 70% | Smooth 0.1 mm Detail | Built-In AI Camera Monitoring | Multiple-Device Hub | Multi-Color and Material Kit,331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,8881095,US,1645672664,1100186454,eufyMake,https://www.kickstarter.com/profile/ankermake,USD,1653141551,1,50000,1738059832,1649253551,US,2490383,Seattle,WA,Town,AnkerMake M5 3D Printer - 5X Faster Printing and AI Camera,17762.1904,8881095.2,Print Time Cut by 70% | Smooth 0.1 mm Detail | Built-In AI Camera Monitoring | Multiple-Device Hub | Multi-Color and Material Kit,4358672,AnkerMake M5 3D Printer - 5X Faster Printing and AI Camera,4358672,active,1653292818,https://www.kickstarter.com/projects/ankermake/ankermake-m5-3d-printer-5x-faster-printing-and-ai-camera,TRUE,FALSE,successful,1653141551,1,1,8881095.2,domestic
202505,7713,"A revolutionary table that evolves over a lifetime. Innovative, yet affordable, with magnetic accessories. Crafted without compromise.",34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,8808136,US,1592862564,754081504,Wyrmwood Gaming,https://www.kickstarter.com/profile/wyrmwood,USD,1602302340,1,1000000,645343012,1597168462,US,2504265,Taunton,MA,Town,The Wyrmwood Modular Gaming Table: Coffee & Dining Models,880.8136,8808136,"A revolutionary table that evolves over a lifetime. Innovative, yet affordable, with magnetic accessories. Crafted without compromise.",4019601,The Wyrmwood Modular Gaming Table: Coffee & Dining Models,4019601,active,1602350085,https://www.kickstarter.com/projects/wyrmwood/modular-gaming-table,TRUE,TRUE,successful,1602302340,1,1,8808136,domestic
202505,219382,This is a card game for people who are into kittens and explosions and laser beams and sometimes goats.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,8782571,US,1418632794,1281334714,Exploding Kittens,https://www.kickstarter.com/profile/elanlee,USD,1424397600,1,10000,1955357092,1421776819,US,2442047,Los Angeles,CA,Town,Exploding Kittens,87825.7199,8782571.99,This is a card game for people who are into kittens and explosions and laser beams and sometimes goats.,1577596,Exploding Kittens,1577596,active,1427580690,https://www.kickstarter.com/projects/elanlee/exploding-kittens,TRUE,TRUE,successful,1424397679,1,1,8782571.99,domestic
202505,63416,"Cracking open the last closed platform: the TV. A beautiful, affordable console -- built on Android, by the creator of Jambox.",270,Gaming Hardware,12,Games,http://www.kickstarter.com/discover/categories/games/gaming%20hardware,8596474,US,1337044803,33844207,OUYA,https://www.kickstarter.com/profile/ouya,USD,1344488400,1,950000,1033978702,1341924281,US,2442047,Los Angeles,CA,Town,OUYA: A New Kind of Video Game Console,904.8920611,8596474.58,,188241,,188241,inactive,1425915810,https://www.kickstarter.com/projects/ouya/ouya-a-new-kind-of-video-game-console,TRUE,TRUE,successful,1344491772,1,1,8596474.58,international
202505,45162,"Action-packed adventure board game, full of immersive choices and excitingly fresh mechanics.",34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,8324792,PL,1612040961,1691346938,Go on Board,https://www.kickstarter.com/profile/goonboard,EUR,1623448740,1.13513305,250000,429298657,1621947604,PL,514048,Poznan,Greater Poland,Town,The Witcher: Old World,2736.259236,6840648.09,"Action-packed adventure board game, full of immersive choices and excitingly fresh mechanics.",4154225,The Witcher: Old World,4154225,active,1623449579,https://www.kickstarter.com/projects/goonboard/the-witcher,TRUE,TRUE,successful,1623448740,1.21813808,1.21695955,8332853.93,domestic
202505,7388,"Unlock your full creative potential from 3D printing to laser engraving, cutting and CNC carving. Smarter, larger, and more powerful.",331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,7850866,US,1556088983,1279409520,Snapmaker,https://www.kickstarter.com/profile/snapmaker,USD,1559829638,1,100000,604109210,1557237638,US,2458152,New Castle,DE,Town,Snapmaker 2.0: Modular 3-in-1 3D Printers,7850.86696,7850866.96,"Unlock your full creative potential from 3D printing to laser engraving, cutting and CNC carving. Smarter, larger, and more powerful.",3717660,Snapmaker 2.0: Modular 3-in-1 3D Printers,3717660,active,1559831751,https://www.kickstarter.com/projects/snapmaker/snapmaker-20-modular-3-in-1-3d-printers,TRUE,TRUE,successful,1559829638,1,1,7850866.96,domestic
202505,23654,"A new box set expanding play for the BattleTech Game of Armored Combat. Over 50 high-quality miniatures, amazing play and new fiction!",34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,7549241,US,1671131049,450703636,Catalyst Games,https://www.kickstarter.com/profile/cgl,USD,1682042400,1,50000,303132100,1679583612,US,2503523,Tacoma,WA,Town,BattleTech: Mercenaries,15098.48338,7549241.69,"A new box set expanding play for the BattleTech Game of Armored Combat. Over 50 high-quality miniatures, amazing play and new fiction!",4526568,BattleTech: Mercenaries,4526568,active,1684049536,https://www.kickstarter.com/projects/cgl/battletech-mercenaries,TRUE,TRUE,successful,1682042402,1,1,7549241.69,domestic
202505,43733,Get ready for brand new adventures in the first ever board game where YOU are the hero!1000+ minutes of adventure for 1 to 4 players.,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,7072757,US,1504815868,1926712971,Serious Poulp,https://www.kickstarter.com/profile/seriouspoulp,USD,1508450340,1,40000,647013276,1506448802,FR,615702,Paris,Ile-de-France,Town,"THE 7th CONTINENT – What Goes Up, Must Come Down.",17681.8925,7072757,Get ready for brand new adventures in the first ever board game where YOU are the hero!1000+ minutes of adventure for 1 to 4 players.,3134570,"THE 7th CONTINENT – What Goes Up, Must Come Down.",3134570,active,1508523903,https://www.kickstarter.com/projects/seriouspoulp/the-7th-continent-what-goes-up-must-come-down,TRUE,TRUE,successful,1508450340,1,1,7072757,domestic
202505,5575,20 m/s2 Acceleration | Up to 16 Colors | 7 μm Lidar | PA / PC / Carbon / Support Filaments | Dual-ABL | Spaghetti Detection,331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,7005014,HK,1650877695,665931828,Bambu Lab,https://www.kickstarter.com/profile/bambulab,HKD,1656601162,0.12892368,78495,814466473,1654009162,HK,2165352,Hong Kong,Hong Kong Island,Town,Bambu Lab X1: CoreXY Color 3D Printer with Lidar and AI,70030.96179,54970803.46,20 m/s2 Acceleration | Up to 16 Colors | 7 μm Lidar | PA / PC / Carbon / Support Filaments | Dual-ABL | Spaghetti Detection,4394500,Bambu Lab X1: CoreXY Color 3D Printer with Lidar and AI,4394500,active,1659079419,https://www.kickstarter.com/projects/bambulab/bambu-lab-x1-corexy-color-3d-printer-with-lidar-and-ai,TRUE,TRUE,successful,1656601162,0.12740298,0.12743155,7003444.174,domestic
202505,29778,Celebrate 10 years of The Stormlight Archive with Brandon Sanderson,47,Fiction,18,Publishing,http://www.kickstarter.com/discover/categories/publishing/fiction,6788517,US,1581127704,74501917,Dragonsteel Entertainment,https://www.kickstarter.com/profile/dragonsteel,USD,1596834300,1,250000,1659939932,1594134001,US,2487610,Salt Lake City,UT,Town,The Way of Kings 10th Anniversary Leatherbound Edition,2715.406888,6788517.22,Celebrate 10 years of The Stormlight Archive with Brandon Sanderson,3929719,The Way of Kings 10th Anniversary Leatherbound Edition,3929719,active,1597182189,https://www.kickstarter.com/projects/dragonsteel/the-way-of-kings-10th-anniversary-leatherbound-edition,TRUE,TRUE,successful,1596834300,1,1,6788517.22,domestic
202505,14997,"Explore the unexpected. For fans of trading card games, Altered could very well be a dream come true.",34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,6732961,FR,1699882887,1204647869,Equinox,https://www.kickstarter.com/profile/equinox-studio,EUR,1709229596,1.13513305,50000,1754166808,1706637596,FR,615702,Paris,Ile-de-France,Town,Altered TCG,12426.61,6213305,"Explore the unexpected. For fans of trading card games, Altered could very well be a dream come true.",4730926,Altered TCG,4730926,active,1709230177,https://www.kickstarter.com/projects/equinox-studio/altered-tcg,TRUE,TRUE,successful,1709229603,1.08447284,1.08363612,6738160.519,domestic
202505,47854,The massive expansion to The Binding of Isaac: Four Souls,34,Tabletop Games,12,Games,http://www.kickstarter.com/discover/categories/games/tabletop%20games,6720471,US,1611167330,923628857,Edmund McMillen,https://www.kickstarter.com/profile/isaacfoursouls,USD,1625209140,1,100000,1415287630,1622530819,US,2442047,Los Angeles,CA,Town,The Binding of Isaac: Four Souls Requiem,6720.47191,6720471.91,The massive expansion to The Binding of Isaac: Four Souls,4147434,The Binding of Isaac: Four Souls Requiem,4147434,active,1625240169,https://www.kickstarter.com/projects/isaacfoursouls/the-binding-of-isaac-4-souls-requiem,TRUE,TRUE,successful,1625209140,1,1,6720471.91,domestic
