collected_at,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,id,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
20250711,0,AA/AAA NiHM & Olight 1.5V Li-ion Compatible | Battery Health Check | Storage Compartments | Polarity-Free Charging | Fast Charging,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,None,US,1746674319,958168234,Olight World,https://www.kickstarter.com/profile/olight,USD,0,1,0,1403816314,0,US,2442047,Los Angeles,CA,Town,Olight Ostation 2: Next Gen of Personal Smart Battery Hub,0,0,None,5181750,None,5181750,inactive,1746674319,https://www.kickstarter.com/projects/olight/olight-ostation-2-next-gen-of-personal-smart-battery-hub,FALSE,TRUE,submitted,1747893795,0,None,None,domestic
20250711,0,AI-Powered|Full-Color Printing|1200 DPI Resolution|AI Image Generate|Smart App Control|Custom DIY Uploads|Multiple Food Surfaces,334,DIY Electronics,16,Technology,http://www.kickstarter.com/discover/categories/technology/diy%20electronics,None,US,1751266205,525600732,iKoffy,https://www.kickstarter.com/profile/ikoffy,USD,0,1,0,2131476629,0,US,2474876,Pomona,CA,Town,EdiBot:the First AI-Powered Portable Full-Color Food Printer,0,0,None,5213201,None,5213201,inactive,1751266205,https://www.kickstarter.com/projects/ikoffy/edibot-the-first-ai-powered-portable-full-color-food-printer,FALSE,TRUE,submitted,1751438708,0,None,None,domestic
20250711,0,"4"""" AMOLED Phone | Dual OS: Android 15 + AI OS | Free Global Internet in 60+ Countries | Built-in AI Tools | 180° Rotating 50MP Sony Cam",52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,HK,1749565633,247486855,iKKO Audio,https://www.kickstarter.com/profile/ikko,HKD,0,0.12739105,0,1274977394,0,HK,2165352,Hong Kong,Hong Kong Island,Town,iKKO: Card-Sized AI Smartphone with Free Global Internet,0,0,None,5201860,None,5201860,inactive,1749565633,https://www.kickstarter.com/projects/ikko/ikko-mind-one-ai-smartphone,FALSE,FALSE,submitted,1750028760,0,None,None,domestic
20250711,0,Grow mushrooms in under 7 days | 100% on autopilot with SproutSense AI | Because the best mushrooms are the ones you can't buy,52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,NL,1728931997,983571110,Celium BV,https://www.kickstarter.com/profile/sproushi,EUR,0,1.16816971,0,1441738357,0,NL,727232,Amsterdam,North Holland,Town,Sproushi - AI Powered Mushroom Grower,0,0,None,5048040,None,5048040,inactive,1728931997,https://www.kickstarter.com/projects/sproushi/sproushi-ai-powered-mushroom-grower,FALSE,TRUE,submitted,1750811822,0,None,None,domestic
20250711,0,Organize your TCGs effortlessly with CardMill. An intelligent automated scanner and sorter for everyday collectors and players.,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,None,US,1717532750,803270742,CardMill,https://www.kickstarter.com/profile/cardmill,USD,0,1,0,614677241,0,US,2400737,Evanston,IL,Town,CardMill - The TCG scanner for players and collectors,0,0,None,4891568,None,4891568,inactive,1717532750,https://www.kickstarter.com/projects/cardmill/cardmill-scan-sort-done,FALSE,FALSE,submitted,1749669433,0,None,None,domestic
20250711,0,🛠 5 Tools • 📦 Big Builds • ⚡ High Speed • 🚀 Open-Source Platform,331,3D Printing,16,Technology,http://www.kickstarter.com/discover/categories/technology/3d%20printing,None,GB,1751788228,1552823768,Makertech 3D,https://www.kickstarter.com/profile/proforge-3d-printer,GBP,1754578800,1.35652816,0,1766386965,0,GB,12723,Birmingham,England,Town,ProForge 5 - Large Tool Changer 3D Printer,0,0,None,5216786,None,5216786,inactive,1751788228,https://www.kickstarter.com/projects/proforge-3d-printer/proforge5,FALSE,FALSE,submitted,1751791043,0,None,None,domestic
20250711,0,"Learn Electronics, Embedded Programming, and Hardware Systems by Assembling Your Own Handheld Game Console",334,DIY Electronics,16,Technology,http://www.kickstarter.com/discover/categories/technology/diy%20electronics,None,CA,1749487097,1498560049,EVO-IN-MOTION,https://www.kickstarter.com/profile/evoinmotion,CAD,0,0.73040844,0,578276259,0,CA,9807,Vancouver,BC,Town,Project-Based Microcontroller & Embedded Kit for Beginners,0,0,None,5201322,None,5201322,inactive,1749487097,https://www.kickstarter.com/projects/evoinmotion/project-based-microcontroller-and-embedded-kit-for-beginners,FALSE,FALSE,submitted,1750811752,0,None,None,domestic
20250711,0,"13-in-1 USB-C Docking Station with built-in 160W GaN+ Charger, Dual 4K Display, 20Gbps Speed, and Real-Time Power & Resolution Display.",52,Hardware,16,Technology,http://www.kickstarter.com/discover/categories/technology/hardware,None,HK,1750668335,1469979441,4URPC,https://www.kickstarter.com/profile/1469979441,HKD,0,0.12739105,0,621994095,0,HK,2165352,Hong Kong,Hong Kong Island,Town,4URPC 160W GaN+ 13-in-1 Dock with Power & Resolution Display,0,0,None,5209158,None,5209158,inactive,1750668335,https://www.kickstarter.com/projects/1469979441/4urpc-all-in-one-intelligent-charging-and-expansion-hub,FALSE,FALSE,submitted,1750832675,0,None,None,domestic
20250711,0,"A Full-pledged ARM®-powered Raspberry Pi® LAPTOP built for makers, learners, and builders like you.",334,DIY Electronics,16,Technology,http://www.kickstarter.com/discover/categories/technology/diy%20electronics,None,HK,1739778825,1719224960,Argon Forty,https://www.kickstarter.com/profile/argonforty,HKD,1756789200,0.12739105,12400,88101649,0,HK,2165353,Kowloon,Kowloon,Town,Argon ONE UP: An Open Source ARM Laptop for the Community,0,0,None,5133061,None,5133061,inactive,1739778825,https://www.kickstarter.com/projects/argonforty/upton-one-the-true-raspberry-pi-compute-module-5-laptop,FALSE,FALSE,started,1739778825,0,None,None,domestic
20250711,0,Rapid Soft Part Making | 10-Minute Ready | 3D-Printing Mold Support | For DIYers & Designers,337,Gadgets,16,Technology,http://www.kickstarter.com/discover/categories/technology/gadgets,None,US,1747302643,1613155563,SALTGATOR Tech Inc,https://www.kickstarter.com/profile/1613155563,USD,0,1,0,1832247357,0,US,2391997,Dickinson,TX,Town,SALTGATOR: The 1st Desktop SoftGel Injection Molding Machine,0,0,None,5186273,None,5186273,inactive,1747302643,https://www.kickstarter.com/projects/1613155563/saltgator-the-1st-desktop-softgel-injection-molding-machine,FALSE,TRUE,submitted,1747811861,0,None,None,domestic
