collected_at,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,id,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
20250602,0,The first bladeless rechargeable portable tower fan - by Venty,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1737314745,1933258452,Team Vento,https://www.kickstarter.com/profile/teamvento,USD,0,1,0,255232078,0,US,2436704,Las Vegas,NV,Town,The Venty Tower Fan - Rechargeable Extending Tower Fan,0,0,None,5112460,None,5112460,inactive,1737314745,https://www.kickstarter.com/projects/teamvento/the-venty-tower-fan-folding-extending-oscillating-fan,FALSE,FALSE,submitted,1737341222,0,None,None,international
20250602,0,The #1 Timer for Mindful Productivity,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,NL,1741857184,1109498663,New Things Lab B.V.,https://www.kickstarter.com/profile/newthingslab,EUR,0,1.13619966,0,1750050987,0,NL,728612,Delft,South Holland,Town,ZONE - Focus Timer,0,0,None,5147543,None,5147543,inactive,1741857184,https://www.kickstarter.com/projects/newthingslab/zone-focus-timer,FALSE,FALSE,submitted,1746811276,0,None,None,international
20250602,0,"Functional, Motorized Models with a Mission",396,Toys,7,Design,http://www.kickstarter.com/discover/categories/design/toys,None,US,1736948350,1480086534,Vinay Prathapan,https://www.kickstarter.com/profile/1480086534,USD,0,1,0,804394780,0,US,55860750,Florida Center,FL,Suburb,TREADHEADS- DIY Mechanical Models,0,0,None,5109486,None,5109486,inactive,1736948350,https://www.kickstarter.com/projects/1480086534/treadheads-diy-mechanical-models,FALSE,FALSE,submitted,1739191708,0,None,None,international
20250602,0,"Introducing TREK, a titanium field watch that's lightweight, scratch-proof, and built for anything from city streets to mountain peaks.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,SG,1747213204,563099645,Drayson Phua,https://www.kickstarter.com/profile/ubiqwatches,SGD,1751212800,0.77491207,0,1356316956,0,SG,1062617,Singapore,Central Singapore,Town,UBIQ TREK | Vibrant Titanium Field Watch,0,0,None,5185604,None,5185604,inactive,1747213204,https://www.kickstarter.com/projects/ubiqwatches/ubiq-trek-vibrant-titanium-field-watch,FALSE,FALSE,submitted,1748237120,0,None,None,international
20250602,0,"Say hello to SkyMill, a kinetic sculpture that transforms the weather forecast into a living, display of movement and light.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,SE,1744036308,31646323,Sky Mill,https://www.kickstarter.com/profile/skymill,EUR,0,1.13619966,0,2050331372,0,SE,906057,Stockholm,Stockholm,Town,Skymill – Watch the Weather Unfold,0,0,None,5163385,None,5163385,inactive,1744036308,https://www.kickstarter.com/projects/skymill/skymill,FALSE,TRUE,submitted,1747050001,0,None,None,international
20250602,0,AI Powered Desktop Companion |Infinity Emoji |DIY Designs | Sunrise Alarm |White Noise | Mood Visualizer | 2900 +Pixel Nodes,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1745293998,991735899,OBBOTO,https://www.kickstarter.com/profile/obboto,USD,0,1,0,1189416642,0,US,2487956,San Francisco,CA,Town,OBBOTO: The Emotional Glowbot That Grooves with Your Vibe,0,0,None,5172275,None,5172275,inactive,1745293998,https://www.kickstarter.com/projects/obboto/obboto-glowbot,FALSE,TRUE,submitted,1745375804,0,None,None,international
20250602,0,Century Series | GR29 Titanium | Multi-Layer Precision Grip | World’s First Adjustable Torque | 100mm Clamping Range | Universal Fit,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,HK,1745304240,1142288151,Titaner TiGlide,https://www.kickstarter.com/profile/tiglide,HKD,0,0.12752914,0,727792037,0,HK,2165352,Hong Kong,Hong Kong Island,Town,Titaner Adjustable Torque TiFractal Vise,0,0,None,5172336,None,5172336,inactive,1745304240,https://www.kickstarter.com/projects/tiglide/titaner-titanium-fractal-vise,FALSE,FALSE,submitted,1745325520,0,None,None,international
20250602,0,"These are semi-weighted, large deluxe plushies that make excellent huggable companions!",396,Toys,7,Design,http://www.kickstarter.com/discover/categories/design/toys,None,US,1723754007,500384583,Dragons and Beasties,https://www.kickstarter.com/profile/dragons-and-beasties,USD,1750881600,1,0,1554766230,0,US,2420441,Herriman,UT,Town,Zen & Harmony Comfort Plushies,0,0,None,4990138,None,4990138,inactive,1723754007,https://www.kickstarter.com/projects/dragons-and-beasties/zen-harmony-plush,FALSE,FALSE,submitted,1748034796,0,None,None,international
20250602,0,100% Made in the USA - The Zero-G is the next iteration of our famous Zero Knife. Experience the next stage of sleek & seamless EDC.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1745939580,1570385464,Kevin Michael Sayers,https://www.kickstarter.com/profile/riverycnc,USD,0,1,0,1457779743,0,US,2491087,Sevierville,TN,Town,Zero-G: Our next deceptively simple knife,0,0,None,5176795,None,5176795,inactive,1745939580,https://www.kickstarter.com/projects/riverycnc/zero-g-our-next-deceptively-simple-knife,FALSE,FALSE,submitted,1746221017,0,None,None,international
20250602,0,"Ghost Ship and Heroic Replicas present: New plush merch and gaming gear, from the world of Deep Rock Galactic.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,CA,1743263391,1356505923,Heroic Replicas LTD,https://www.kickstarter.com/profile/heroicreplicas,CAD,0,0.72868771,0,1542759542,0,CA,4118,Toronto,ON,Town,DEEP ROCK GALACTIC - Plush Creatures + Essential Gear,0,0,None,5157715,None,5157715,inactive,1743263391,https://www.kickstarter.com/projects/heroicreplicas/deep-rock-galactic-plush-creatures-and-essential-gear,FALSE,FALSE,submitted,1747946250,0,None,None,international
